,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,total_spent,geolocation_lat,geolocation_lng,spent_rate
28382,883df49734fcf0ed18d2b8f29383a31e,90650,porto alegre,RS,139.65,-30.06177937996993,-51.170740679987325,high
23361,2580972c3ec1cbbb77a591613453d925,12953,atibaia,SP,158.54,-23.09537257517733,-46.6002934902457,high
22737,da426c858710d96b143677a1859a71f3,28455,sao jose de uba,RJ,159.9,-21.358247015394284,-41.94145740541015,high
22834,3a5637533760619eb56a39f880797af2,15900,taquaritinga,SP,159.9,-21.40988100649633,-48.49689418444743,high
6026,e42c68fd0e72c61c1d4427e060cdf015,74463,goiania,GO,369.9,-16.6515451392952,-49.344366671055006,high
6149,5cc22576ed6032e9dab0501f28f0c33f,55190,santa cruz do capibaribe,PE,366.5,-7.950454194661508,-36.20022733984541,high
7781,9b9bf14cdbe967b47ff15e6b66cca2a1,21235,rio de janeiro,RJ,319.99,-22.83586646404876,-43.322162133504506,high
27252,e307b1e265fb8e6fbf392aaf8f4fc93b,5092,sao paulo,SP,142.5,-23.511502314851025,-46.71448715742552,high
23641,79ed6509631208c7ee25695012c91581,86084,londrina,PR,156.0,-23.25795336554321,-51.15321467790985,high
29749,548d76f0cb7f2f381a7ca342b792e7a7,35960,santa barbara,MG,133.9,-19.964212954976457,-43.41725182108993,high
31905,518fe6f62ae326d330c8f6576e062994,22753,rio de janeiro,RJ,127.48,-22.97938068457905,-43.3327651254376,high
12545,9066a8bead8e566a56cd74abaab8cda6,51020,recife,PE,235.0,-8.109659996393315,-34.89334721273588,high
31291,2adaff8e437d7153f3326cf14187d821,6519,santana de parnaiba,SP,129.0,-23.49413311227142,-46.97080924393411,high
1700,650606c8d2e45478f993ea474fc8f91b,97010,santa maria,RS,789.0,-29.686990820416717,-53.81325546364473,high
718,c27b3b31889d6298101191434c42b44d,88063,florianopolis,SC,1199.0,-27.68775442656832,-48.48827427364544,high
24549,ac54064cd0646ca91a0c86bdce9cc9e0,62900,russas,CE,149.99,-4.936536092354878,-37.9700053741039,high
26371,ce839bf77a192f7bf02be8b01ee3af1f,21550,rio de janeiro,RJ,147.5,-22.85542527560733,-43.36708926340231,high
31173,89af4a59fbd4471bfa9fa70e14803d2e,7115,guarulhos,SP,129.8,-23.44419816600658,-46.53461373987942,high
7819,c78b6a5c911f6ee40906272207fe1775,5773,sao paulo,SP,319.9,-23.6322501723814,-46.75266983686787,high
5515,d1495d03600fe3a8aa6591f6f804bb62,37490,sao goncalo do sapucai,MG,389.0,-21.887047181017994,-45.593571652099534,high
29286,22fb6f5179c82d4ce4368c67c1705422,59300,caico,RN,135.0,-6.469114790855111,-37.094479370604446,high
6900,c667c7454243251d3210c6c54a97c482,39440,janauba,MG,345.0,-15.818348788762345,-43.30447358658913,high
21143,24e6845e9574241809bde99489b5213a,28633,nova friburgo,RJ,169.9,-22.24089188402516,-42.5246776679957,high
12375,b59573acc700db477ad379a38496357f,1310,sao paulo,SP,238.9,-23.556926913670807,-46.6615417904381,high
22527,63720cc21fb7c27a011e35baeffd3ac4,14405,franca,SP,159.98,-20.506793628480604,-47.40773763671002,high
1484,4577881f7a6c10d8eb6bd7f7a82ffa86,3510,sao paulo,SP,836.9,-23.53754838273989,-46.53300547599397,high
30658,19e9c460e75ea7654140c90e06bc9ae8,26298,nova iguacu,RJ,129.9,-22.72056316788943,-43.433968295038845,high
30520,1eb285dfda5f74ef3d8cb36f4aaddede,88348,camboriu,SC,129.99,-26.99799029848867,-48.65605531454657,high
22395,00b21d737fc7f475c145ca292832385d,30330,belo horizonte,MG,159.99,-19.941373330284467,-43.93759243297362,high
10961,b66d371019167bf179939648be12f2cd,19904,ourinhos,SP,258.0,-23.015574147094497,-49.88405407660567,high
10500,c1223d843cfe21a903e44217e4c12284,11702,praia grande,SP,265.0,-24.01704140383171,-46.44291733028447,high
8784,e224d56bfa2030f5cbac17fad373f588,49160,nossa senhora do socorro,SE,299.0,-10.894371116829834,-37.10996903604129,high
27625,e50e44f7101ce3ca3ab0df0922177431,22793,rio de janeiro,RJ,139.99,-23.00927096142304,-43.42940927644404,high
23149,e578d96e5bd3851422a5a12455f10a37,24900,marica,RJ,159.0,-22.918401715611136,-42.81174804781017,high
15602,baa7ef22b7e752ead13c75802568a44d,35680,itauna,MG,199.99,-20.08212660423176,-44.5732983518722,high
4273,4c45ebf94ecf4107850d91bc326851c3,88400,ituporanga,SC,459.0,-27.416852498627023,-49.6005942135774,high
12041,de8ce480b6119f2835ce8ad07c326793,9371,maua,SP,240.0,-23.66930462115525,-46.48159847045406,high
31659,bdcd9527af18d080cff76388972840cd,14860,barrinha,SP,129.0,-21.182360068257925,-48.15822670677218,high
2942,edba94ccdd8c021e5a58db8374847a5b,68638,rondon do para,PA,589.99,-4.775128569399123,-48.07287125084596,high
19640,e5440d697a12998b140e0aea7a10b699,18090,sorocaba,SP,179.0,-23.474158480273637,-47.4550642451937,high
18039,96210b041c07fae4d3ed07549185bebb,28970,araruama,RJ,189.0,-22.871874606599256,-42.26921988909431,high
25316,0b35b0c15e108cf218f935d9bb2069a4,2408,sao paulo,SP,149.9,-23.48192669608748,-46.62646540521669,high
4818,b2254159af2f807dc144313e28cb6966,31270,belo horizonte,MG,419.9,-19.8530362758958,-43.95277064446877,high
11458,7d8b4f89fda12bbbd9598fd89b76f4f1,29055,vitoria,ES,249.9,-20.296512281724183,-40.29620870064644,high
5340,563bf685b8426233585285851fa03881,79540,cassilandia,MS,396.0,-19.11358227631166,-51.73572123667424,high
4181,414779003a0c5293d780791c1a7b95bf,83260,matinhos,PR,468.0,-25.758995329617274,-48.508339282916765,high
15851,2b5620d9b3c131ee3397ac8d950e050b,23082,rio de janeiro,RJ,199.9,-22.88989083374691,-43.56737370384911,high
3187,5925d5949fbb32a986a73c75c064df5b,79215,dois irmaos do buriti,MS,561.9,-20.691375260706693,-55.27780833869396,high
16320,63b0386cf8a7344034af40b03efee816,25938,mage,RJ,199.0,-22.647321106588063,-43.20284865417834,high
920,a35a5dd77ca1643b8f45340f5cd94606,64600,picos,PI,1049.6999999999998,-7.077400026804777,-41.47074002518156,high
28472,b8bd53ba44a9c43331d54b37c09c8951,41150,salvador,BA,139.0,-12.961183583362743,-38.4704046479672,high
27729,265e2e22b38005c7d8bd4446b0943e7b,8061,sao paulo,SP,139.98,-23.501587725229385,-46.46351332223437,high
4010,d5763d39861acd1baedfcbd33dccb59d,70673,brasilia,DF,489.0,-15.806524500000004,-47.93582925,high
13491,c304841fbaedad4118000708f765b5c2,59149,parnamirim,RN,224.0,-5.879064163431219,-35.251512399442134,high
24700,6452168ad6a6cddd2fe5a2b1624f2d47,41120,salvador,BA,149.99,-12.970993735430158,-38.45677524884366,high
4566,90c876a16ad0f0187a0aa8d4f8b1377b,21775,rio de janeiro,RJ,439.0,-22.891478935169616,-43.44853638743293,high
27469,ae55a9f971dc788a3285d257a2abacc5,65760,presidente dutra,MA,140.0,-5.288118655826027,-44.49006344486956,high
6794,e9bedb18372dc8fad6ddcd1b571f297b,58010,joao pessoa,PB,349.0,-7.1171929278377215,-34.888963981822364,high
18016,9cb1abc10e2f73a0296bc7eaf48e4712,2136,sao paulo,SP,189.0,-23.4982544454671,-46.57847265889549,high
21404,cf7dfb0cc05783ea1ab1e68d94ae1f81,5468,sao paulo,SP,169.0,-23.539167062727213,-46.71731556994055,high
4470,494e887fef923d79982b3c0e1ab49cdd,5021,sao paulo,SP,445.19,-23.53399869525075,-46.68496714377629,high
13195,258d4b35e2ad0a1677215c1f033fe407,4904,sao paulo,SP,229.0,-23.67208977101971,-46.739566162646405,high
4226,6f1b9f60ea8ee748140353648c2d8d8f,25995,teresopolis,RJ,464.79999999999995,-22.379789300034645,-42.92663232690309,high
21670,84bf9ae18880da8c86213d17a1bf9f4c,13473,americana,SP,167.39999999999998,-22.72893170107914,-47.301322143632056,high
32312,06da5ebb792cd04ba20b05e0217ac5f9,20271,rio de janeiro,RJ,125.0,-22.943910560140814,-43.254772993992525,high
17694,c6fe82af3c1fdd1a71482fd267d989ae,73005,brasilia,DF,189.9,-15.646078392606958,-47.80261301154338,high
32338,a6949bcc4f127c2e918b24b787a4f9bb,9892,sao bernardo do campo,SP,125.0,-23.68518013015762,-46.576104443793646,high
14788,04adde38785dda52241a94fa0d3e1b6f,65045,sao luis,MA,209.99,-2.548406443647128,-44.24573679801306,high
2392,3ea221da0451d7a2fdb9892f427b0744,18607,botucatu,SP,649.99,-22.885356846451742,-48.47764303000053,high
25166,f672d4ae866d742fc72d3b4c4d2cf23d,4119,sao paulo,SP,149.9,-23.600995072162263,-46.63496187621901,high
21753,fbe1e766ced2315c4ce44b68d37ddbe5,82940,curitiba,PR,166.99,-25.454342472387303,-49.22258337676727,high
20905,f1136bf5c6ada89ff1ca10b9125d6b52,27338,barra mansa,RJ,169.9,-22.57303617630277,-44.16970186580994,high
2012,37d7f68849e1f7a6bcc58225180fc4f3,14600,sao joaquim da barra,SP,701.9399999999999,-20.581177442701478,-47.858931261277824,high
25275,2dd7f52683f631651a5d94056935e1e1,4563,sao paulo,SP,149.9,-23.607743741329536,-46.68867314348783,high
19529,b9b0045701abdd2fc5bf0e12da736d3b,42801,camacari,BA,179.0,-12.704941893152483,-38.31228328064262,high
13221,d4b356ab08407f5d51f04f13071b43cd,81070,curitiba,PR,228.8,-25.48015350874257,-49.29687243020366,high
20934,ea8c130ad7f684ae458672c78e0dfd00,41830,salvador,BA,169.9,-13.00486273633788,-38.46539390896759,high
23304,03ab3ea477718b0b0718b8fb857b2479,11800,juquia,SP,159.0,-24.316007192981868,-47.6310274100164,high
4499,fec6726cf0e479fc406d3e81498dc523,13097,campinas,SP,440.55,-22.8469524096601,-47.02743444240869,high
1703,e9157eb28b76aa9231f1097a4b3d2161,19061,presidente prudente,SP,789.0,-22.130468983985818,-51.40849659794202,high
2479,54e7622690229436c11774f5f186e4a4,22790,rio de janeiro,RJ,639.0,-23.01133469499096,-43.45025641534424,high
21942,6178119ad39df8c7d51e4e5090976357,79012,campo grande,MS,165.0,-20.419640770182987,-54.60736383625707,high
30098,61bc015848fdab0d072046b3f05bffc2,4840,sao paulo,SP,130.0,-23.75343690793141,-46.68440911120355,high
31300,f5e565a88e60470ef0608a1ccefe9931,29665,sao roque do canaa,ES,129.0,-19.73929732233853,-40.65808102386044,high
18818,53aefda7ff8c61644d09043810bbf79f,24110,niteroi,RJ,179.99,-22.87198981200734,-43.104650816542055,high
31792,b5dc8dea53a2cd22f392d462c6566cb1,85864,foz do iguacu,PR,128.35,-25.5199962069248,-54.589633436421295,high
28440,a375d660daaeffaa316673543e2d5338,13209,jundiai,SP,139.0,-23.17965058485729,-46.90576352862229,high
24519,b6026a3e4e0e614fdfca5b00ef35ac4c,22775,rio de janeiro,RJ,150.0,-22.972956517889177,-43.39706327699233,high
4458,43fe8dd64f7a6328782c63d08e4d00e6,70843,brasilia,DF,447.74,-15.7724595,-47.87845874999999,high
2590,0a843a6dd55792323714128564c1541e,18035,sorocaba,SP,619.64,-23.501058123111395,-47.46835501559965,high
30831,5d7f8f3dc91fcf55a9c1dac6bba1fbfa,48020,alagoinhas,BA,129.9,-12.13335902462911,-38.41485752462909,high
15765,ff2521c4012e1a212bbd12c9ed5acc48,30150,belo horizonte,MG,199.9,-19.92214631334759,-43.92783530223908,high
32136,f6294fd0262a8c15fa861c2604330696,40155,salvador,BA,125.9,-13.006714289933614,-38.51611048523236,high
14402,f4e5cb6321ff7e6acaf8eb6dc0bc3580,13253,itatiba,SP,215.5,-22.993820438600167,-46.81014454759541,high
30624,e9d83ddb5b55277ae391b0e708709f63,9895,sao bernardo do campo,SP,129.9,-23.70734747994644,-46.56687389064575,high
6746,5ca49056dee44801d12e37da1483d9de,37505,itajuba,MG,349.9,-22.41341676594225,-45.47431045409493,high
4059,b8d31a82b1bb71983bbc08e4751baeab,4524,sao paulo,SP,480.0,-23.599634741329545,-46.6603591434878,high
1358,17b1730e0fe9c924d078ee3d10bbc4ba,6390,carapicuiba,SP,869.99,-23.539218941614852,-46.84530489379081,high
20205,801f77c7a4a4b859fd836b537cc5e162,36700,leopoldina,MG,174.9,-21.526803364146524,-42.64106019317997,high
3747,f28304729eda01a4b1307e4813684dca,13100,campinas,SP,500.0,-22.923882117488567,-47.04015110865824,high
4121,cdd2423c8479dba4e44a9f5d43808651,58074,joao pessoa,PB,478.0,-7.173587346932892,-34.85758930099831,high
22546,0213fe7fbaa0a7e81c16350785e367e6,87900,loanda,PR,159.98,-22.931426544866625,-53.13375928731349,high
10795,a004f0d471e548d9522a55316d680d8a,22790,rio de janeiro,RJ,259.9,-23.01133469499096,-43.45025641534424,high
593,95a0e14dee86eb0eeec5263fe5fca796,30350,belo horizonte,MG,1299.65,-19.944623503750908,-43.945072637803655,high
15227,faa5d8e4fbf010ed7edfeb258c7ae0d4,24431,sao goncalo,RJ,205.0,-22.827206075806263,-43.08632597763122,high
1335,31d1ec8fb80004b9a556acace88a9468,83704,araucaria,PR,881.64,-25.581182453673023,-49.4134921642734,high
9953,728347066c1627e1a441b35114de2011,3920,sao paulo,SP,276.0,-23.594128973628056,-46.52107533166944,high
14755,6a173492eb808e4654fba73da730a5d3,95900,lajeado,RS,209.99,-29.45957919035882,-51.96768363129545,high
1781,67913e95e07035bc67dcaa79ecd70cc9,78200,caceres,MT,759.96,-16.085822367663457,-57.696735618862974,high
10509,790cf712a170a418cac0dc0cf3554980,24415,sao goncalo,RJ,265.0,-22.84460881564635,-43.08909376955794,high
4742,ade96e0b2c4e31ee44d25203a746d311,1315,sao paulo,SP,424.5,-23.552592988343235,-46.64068338732753,high
32189,51d749720bbcf42fb9f553160011b42c,22793,rio de janeiro,RJ,125.85000000000001,-23.00927096142304,-43.42940927644404,high
9207,e345b7d024013746026a4f9492bb1223,11250,bertioga,SP,289.99,-23.82834010075353,-46.1430173832652,high
5586,86852d58b8d089a24d8df48f242c66be,95980,anta gorda,RS,388.0,-28.97100977026169,-52.021068899057695,high
11026,d4277abfcc67f0a3b4e054f14f3e59ec,35179,santana do paraiso,MG,255.61,-19.45515459535982,-42.53231121006311,high
8289,861b9aba020f6a8a91007e9e71468d35,13504,rio claro,SP,300.0,-22.38438072912452,-47.586364840844695,high
4275,2c62afdc0b0bd908f4cb79f8b5dc059b,74885,goiania,GO,459.0,-16.735303440722898,-49.20675061407453,high
16436,d821ebfbfed26c688e0f3161f9ec5f9a,86084,londrina,PR,199.0,-23.25795336554321,-51.15321467790985,high
29998,f2ade61ba9894b05ac9170d7b22c6098,72220,brasilia,DF,130.89,-15.838528302842304,-48.110470859171926,high
11019,27471f7fc206da344fa29b57c48417c0,18060,sorocaba,SP,255.9,-23.492031736886148,-47.47300904079867,high
12344,8df6025e7e187171192472543413b77e,33943,ribeirao das neves,MG,239.0,-19.805776157437,-44.01732103235708,high
32268,f7655cdeabc84c2072c399d017a5f4fd,9855,sao bernardo do campo,SP,125.0,-23.731357568411365,-46.58907577073124,high
976,71a06ac25e00c414c23e1cd105a2b1b5,81460,curitiba,PR,999.99,-25.549428006116845,-49.32449259824576,high
10186,3b4a4d8c04fb333db68a4eb0871e22a3,87175,itambe,PR,269.9,-23.6542899592186,-52.00035759908371,high
24469,28c40902bbe4870f16d52a48f64e668f,26297,nova iguacu,RJ,150.0,-22.816208502962155,-43.592857367908415,high
31641,6667847f7b2cde48a616449b2d2774b6,4012,sao paulo,SP,129.0,-23.5818119866698,-46.64479190896761,high
24372,eb1b2be611df633efd1e7b41a5b54ba7,12327,jacarei,SP,150.0,-23.29818595956356,-45.974828011182304,high
26213,679602a8ef73ec6bd0755d5dee16d46f,31520,belo horizonte,MG,148.0,-19.815697665012323,-43.9753305807606,high
9705,335ea262e0c887d122edebf8fe0aded2,95095,caxias do sul,RS,279.9,-29.19829438602458,-51.20720195133252,high
30491,bfc88ad2f4a7c54dc245cc22ab468f73,6180,osasco,SP,129.99,-23.53751282051502,-46.802685846524746,high
21342,6195cf5f8feb3421e833cb5d0baa61e7,3804,sao paulo,SP,169.0,-23.50271592062436,-46.48299647362806,high
26297,f64252a555afb1b642c0bfda648ddff7,30840,belo horizonte,MG,148.0,-19.891079580904844,-43.99423022788376,high
11342,1ccca960ee87d25266f317aa57761fd4,11060,santos,SP,249.99,-23.967052416613654,-46.33691592783774,high
26102,508bf6f5e11ca89e21772c88ffcd8c0c,88025,florianopolis,SC,148.91,-27.58046831585774,-48.54149042867444,high
19430,7d5e8e63f6ea07b707666991205d29ca,30441,belo horizonte,MG,179.49,-19.935201059120523,-43.9567957307693,high
2952,67466b5877fad6f2279c1fb634c9aa5c,84045,ponta grossa,PR,589.7,-25.140280860407312,-50.15341082183036,high
18077,9466dc0de896f7de952d223dc86a1120,37410,tres coracoes,MG,188.99,-21.69216794221008,-45.25804903964345,high
17321,52048addc48dc028cbb5c1cd4f67a32b,31170,belo horizonte,MG,191.98,-19.881438098245752,-43.91679121149515,high
29225,fd16ef833c280c8e679d5025535a32e7,29102,vila velha,ES,135.8,-20.37616120906966,-40.30529402401848,high
31943,9889052206e07152b73c452b91d7349a,88340,camboriu,SC,127.2,-27.03257944981925,-48.65823216406999,high
2495,8190d0cbc8a4e51b3d707505a79a9f6e,15840,itajobi,SP,635.38,-21.311150026298016,-49.0511614229539,high
7611,34bb455fd095fdf1a9964fed915c596e,36800,carangola,MG,325.0,-20.73445258960086,-42.03154458299644,high
17857,117f44d4aa91f002c9536beb80eaaaaa,13974,itapira,SP,189.8,-22.441689885911977,-46.8296843558603,high
7914,345b62837e70ddbcdc88fbdf7c99f7f4,72850,luziania,GO,319.0,-16.130234115673762,-47.966305231347526,high
17031,6ec200381dad398e733da3d5144822ba,56000,salgueiro,PE,195.5,-8.058475340149235,-39.12500632992536,high
2527,490752d6d25e7b5207da24cb2a870c27,86990,marialva,PR,629.9,-23.489938018233765,-51.788818993683066,high
22358,08056efaf8c9775d8e5472281e9001b8,56640,custodia,PE,160.0,-8.093576009155354,-37.65041050065395,high
7061,4389eb65520ce3c15fac57954850566a,22461,rio de janeiro,RJ,339.8,-22.96070967499565,-43.213958465173945,high
7583,7ed57df0e6ae22a4f9e0250d52608ad5,29705,colatina,ES,325.1,-19.51582544534821,-40.626185049155936,high
14932,00da34ebf22b87f6c2f53dc069f237df,5653,sao paulo,SP,209.70000000000002,-23.601163117404337,-46.71666863849615,high
19927,67cc9e01f369c13b1b2efe553ec7b349,4696,sao paulo,SP,177.99,-23.66897161033521,-46.70251155358061,high
14552,c60519fbe3add880c770ba0f9cf4112e,18150,ibiuna,SP,213.0,-23.655113618612447,-47.22029237277671,high
15914,767f1a70a46e047081b60f94134d7d7a,88034,florianopolis,SC,199.9,-27.57865911904912,-48.50709600207745,high
25050,348b0e0645d48bb7130acf6f9bfc1bcc,99713,erechim,RS,149.9,-27.643750486510744,-52.29607977132165,high
11688,7fa12ff85543277b8842b68a31eca5c2,15061,sao jose do rio preto,SP,249.0,-20.79913352005785,-49.35654569558457,high
19151,1680c0ad8efa885aaca63994e6e65570,38706,patos de minas,MG,179.9,-18.61487175547595,-46.504639403393725,high
21286,f338aa95c8a5d23169067987292428c6,95625,imbe,RS,169.0,-29.965246172122555,-50.11768106939471,high
12300,a2bc393394fa9c2327f51c4c1b7f3c88,76913,ji-parana,RO,239.0,-10.904495504841869,-61.92134947643408,high
3226,5e4d57b5217587ccb9234555c17e303f,35450,itabirito,MG,559.0,-20.25779584611288,-43.81183983084434,high
25465,9ea4cd3819443c9b23090f8eb0fb3a47,9280,santo andre,SP,149.9,-23.63501354177962,-46.50399501887012,high
22483,c25f3c70f8c8db6d2a7fb16fc8459597,73252,brasilia,DF,159.99,-15.687127618933868,-47.8263635190533,high
24745,7bc033a7f4aa627db2baf812a4f73122,36015,juiz de fora,MG,149.99,-21.75964925062038,-43.353198256592975,high
22753,389addbd2b0508fd060712ea3a706e48,55680,bonito,PE,159.9,-8.473676140874986,-35.72753876215729,high
14433,f2034cdca385d1d64b608bfd73d407ba,92330,canoas,RS,215.0,-29.905850536211037,-51.21874199125742,high
